nombre,area_m2,area_ha
Humedal de Juan Amarillo o Tibabuyes,4377453.417138026,437.7453417138026
Humedal de Jaboque,3518984.4860933167,351.8984486093317
Humedal de Guaymaral,1953905.4086568465,195.39054086568464
Humedal de la Conejera,1868131.4258574597,186.81314258574596
Humedal del Meandro del Say,1787447.3912400047,178.74473912400046
Humedal de Cordoba y Niza,1349439.1951762214,134.94391951762213
Humedal de Capellania o Cofradia,896945.5608880902,89.69455608880902
Humedal el Tunjo,884419.1476535378,88.44191476535379
Humedal de Tibanica,776851.758702529,77.6851758702529
Humedal del Burro,683826.4109935168,68.38264109935167
Humedal del Salitre,682514.6579818453,68.25146579818453
Humedal de La Vaca,559719.9278166892,55.971992781668924
Humedal de Techo,422338.5794601126,42.23385794601126
Humedal de La Isla,412949.459044022,41.294945904402205
Humedal de Santa María del Lago,404816.3055179511,40.48163055179511
